,Year,DOC_Loss(gC/day/m2)_Delineated_Average,Step,NH4_Loss(gN/day/m2)_Delineated_Average,Runoff_All(mm/day)_Delineated_Average,DON_Loss(gN/day/m2)_Delineated_Average,NO3_Loss(gN/day/m2)_Delineated_Average,DOC_mg/L,Sfc_Water_Temp_C,CO2
11,1998,0.005433218088001,11,5.14427529196837e-06,4.1968183517456055,0.00016026470984797925,9.249747563444544e-06,0.015523480251431429,6.6125,0.003880870062857857
12,1998,0.0049315202049911,12,4.8071970013552345e-06,3.849581241607666,0.00014523116988129914,8.079600775090512e-06,0.014090057728546,5.7125,0.0035225144321365
13,1998,0.0044323578476905,13,4.442637873580679e-06,3.544504880905152,0.0001302334712818265,6.878026852064068e-06,0.01266387956483,5.0375,0.0031659698912075
14,1998,0.0040269647724926,14,4.15276281273691e-06,3.276203155517578,0.00011812677257694304,5.933440661465284e-06,0.011505613635693145,3.9125,0.0028764034089232863
15,1998,0.0036753979511559,15,3.898778231814504e-06,3.0393643379211426,0.00010762832971522585,5.137751941219904e-06,0.010501137003302572,5.9375,0.002625284250825643
16,1998,0.0033554038964211,16,3.660326228782651e-06,2.8218765258789062,9.807384776649997e-05,4.473320586839691e-06,0.009586868275488858,6.6875,0.0023967170688722144
17,1998,0.0030727435369044,17,3.445660468059941e-06,2.625793218612671,8.964473090600222e-05,3.941100203519454e-06,0.008779267248298287,5.4875,0.0021948168120745717
18,1998,0.0028347300831228,18,3.2665643630025443e-06,2.4601519107818604,8.256882574642077e-05,3.534407596816891e-06,0.008099228808922287,4.3625,0.0020248072022305717
19,1998,0.0026346838567405,19,3.1178306016954598e-06,2.298285961151123,7.664373697480187e-05,3.2238417588814627e-06,0.0075276681621157145,2.6374998,0.0018819170405289286
20,1998,0.0024574587587267,20,2.983567128467257e-06,2.160850048065185,7.139816443668678e-05,2.9580669433926232e-06,0.007021310739219144,2.8625002,0.001755327684804786
21,1998,0.0022938032634556,21,2.8556630695675267e-06,2.034473180770874,6.655136530753225e-05,2.7182004487258382e-06,0.0065537236098731425,5.7875,0.0016384309024682856
22,1998,0.0021434237714856,22,2.7322632831783267e-06,1.918003797531128,6.209428102010861e-05,2.5027698029589374e-06,0.006124067918530286,1.7375001,0.0015310169796325715
23,1998,0.0020197799894958,23,2.634649945321144e-06,1.81642484664917,5.845375562785193e-05,2.340471837669611e-06,0.005770799969988001,0.0124999285,0.0014426999924970001
24,1998,0.0019135342445224,24,2.5529234335408546e-06,1.7248671054840088,5.534560841624625e-05,2.2097331111581298e-06,0.005467240698635429,0.0124999285,0.0013668101746588572
25,1998,0.0018141485052183,25,2.4729868073336547e-06,1.6406958103179932,5.243004488875158e-05,2.0840600427618483e-06,0.005183281443480858,2.1875,0.0012958203608702144
26,1998,0.0017187616322189,26,2.391877615082194e-06,1.561726689338684,4.96256907354109e-05,1.9592366697906982e-06,0.004910747520625429,2.7875,0.0012276868801563573
27,1998,0.0016306772595271,27,2.315396841368056e-06,1.4883699417114258,4.704068487626501e-05,1.8446717149345204e-06,0.004659077884363143,2.0375,0.0011647694710907857
28,1998,0.0015525094931945,28,2.248037617391674e-06,1.421318531036377,4.475483365240507e-05,1.746902967170172e-06,0.004435741409127144,0.6125001,0.001108935352281786
29,1998,0.0014814690221101,29,2.1869582269573584e-06,1.3597395420074463,4.268146585673094e-05,1.6594711951256611e-06,0.004232768634600286,2.4125,0.0010581921586500715
30,1998,0.0014127608155831,30,2.124955926774419e-06,1.3016738891601562,4.067067129653879e-05,1.5719278962933458e-06,0.004036459473094572,3.3874998,0.001009114868273643
31,1998,0.0013495530001819,31,2.0665411284426227e-06,1.24796724319458,3.882046803482808e-05,1.4923094795449288e-06,0.003855865714805429,0.23750007,0.0009639664287013572
32,1998,0.0012938424479216,32,2.016733105847379e-06,1.1992539167404177,3.719632877619006e-05,1.4258336022976437e-06,0.0036966927083474286,1.6625001,0.0009241731770868571
33,1998,0.001255013863556,33,1.994822241613292e-06,1.214913010597229,3.6102017475059256e-05,1.4053650829737308e-06,0.0035857538958742863,4.4375,0.0008964384739685716
34,1998,0.0012233742745593,34,1.981692776098498e-06,1.1105616092681885,3.521540202200413e-05,1.4028008763489197e-06,0.0034953550701694288,3.6125,0.0008738387675423572
35,1998,0.0011688047088682,35,1.9228575638408074e-06,1.0691065788269043,3.359327820362523e-05,1.3239019835964427e-06,0.0033394420253377148,2.6374998,0.0008348605063344287
36,1998,0.0011210755910724,36,1.874371378107753e-06,1.0306570529937744,3.2190364436246455e-05,1.2595832004080876e-06,0.0032030731173497144,2.4875002,0.0008007682793374286
