,DOC_Loss(gC/day/m2)_Delineated_Average,DON_Loss(gN/day/m2)_Delineated_Average,Runoff_All(mm/day)_Delineated_Average,NH4_Loss(gN/day/m2)_Delineated_Average,Year,NO3_Loss(gN/day/m2)_Delineated_Average,Step,DOC_mg/L,Sfc_Water_Temp_C,CO2
2028,0.0400108247995376,5.854197661392391e-05,0.2125525474548339,1.1366588296368718e-05,2003,4.58067370345816e-06,2028,0.11431664228439316,18.912498,0.02857916057109829
2029,0.0316478013992309,4.706511754193343e-05,0.1759829819202423,8.82085532794008e-06,2003,3.44981503985764e-06,2029,0.0904222897120883,20.5625,0.022605572428022074
2030,0.0262618083506822,3.94663329643663e-05,0.1507115364074707,7.165047009038972e-06,2003,2.7841829250974115e-06,2030,0.0750337381448063,20.787498,0.018758434536201574
2031,0.0225022323429584,3.404675953788683e-05,0.1319789737462997,6.0031729844922666e-06,2003,2.366662556596566e-06,2031,0.06429209240845257,20.412498,0.016073023102113143
2032,0.0201629158109426,3.0517447157762945e-05,0.1344023793935775,5.247411081654718e-06,2003,2.096410753438249e-06,2032,0.05760833088840744,20.9375,0.01440208272210186
2033,0.0184540525078773,2.783593299682252e-05,0.108209453523159,4.673171133617871e-06,2003,1.9030620705962065e-06,2033,0.05272586430822086,21.3125,0.013181466077055216
2034,0.0166802741587162,2.5141534933936786e-05,0.1037162244319915,4.117811386095127e-06,2003,1.7568964949532528e-06,2034,0.04765792616776057,20.037498,0.011914481541940143
2035,0.0162877142429351,2.429653613944538e-05,0.1364295184612274,3.919918526662514e-06,2003,1.8614319969856297e-06,2035,0.04653632640838601,18.6875,0.011634081602096502
2036,0.0161642134189605,2.3816442990209907e-05,0.0898502841591835,3.785723038163269e-06,2003,1.8037102336165844e-06,2036,0.04618346691131571,19.8125,0.011545866727828927
2037,0.0150350406765937,2.2071295461500995e-05,0.0973474010825157,3.4379211228952045e-06,2003,1.6328423271261272e-06,2037,0.042957259075982,20.037498,0.0107393147689955
2038,0.0142012722790241,2.07150533242384e-05,0.0772116184234619,3.165882162647904e-06,2003,1.4924479501132737e-06,2038,0.04057506365435457,20.412498,0.010143765913588643
2039,0.0134262386709451,1.9453567801974717e-05,0.089603915810585,2.919281996582868e-06,2003,1.3760649153482518e-06,2039,0.038360681916986,20.412498,0.0095901704792465
2040,0.0141178891062736,2.004446105274837e-05,0.1305454224348068,2.9858315429009963e-06,2003,1.442050233890768e-06,2040,0.04033682601792458,19.662498,0.010084206504481144
2041,0.0147545933723449,2.059785765595734e-05,0.0723232105374336,3.0367571071110437e-06,2003,1.5418924022014837e-06,2041,0.04215598106384257,19.287498,0.010538995265960643
2042,0.0135289700701832,1.8861583157558925e-05,0.0659837275743484,2.7223004508414306e-06,2003,1.3463512686939794e-06,2042,0.03865420020052343,20.6375,0.009663550050130858
2043,0.0124633274972438,1.7327400200883858e-05,0.0604304075241088,2.4505848159606103e-06,2003,1.1976186442552716e-06,2043,0.03560950713498229,20.712502,0.008902376783745572
2044,0.0115509154275059,1.6000340110622346e-05,0.0555524826049804,2.2192575670487717e-06,2003,1.089644456442329e-06,2044,0.033002615507159716,20.5625,0.008250653876789929
2045,0.0107665685936808,1.4860222108836751e-05,0.0513284616172313,2.024691411861568e-06,2003,1.07424489215191e-06,2045,0.030761624553373716,19.5125,0.007690406138343429
2046,0.0109686078503727,1.4921494766895194e-05,0.0977351367473602,2.016831558648846e-06,2003,1.1293843726889463e-06,2046,0.03133887957249343,19.287498,0.007834719893123357
2047,0.0133520541712641,1.7587022739462554e-05,0.1432784795761108,2.389538849456585e-06,2003,1.3581304756371535e-06,2047,0.03814872620361172,19.1375,0.00953718155090293
2048,0.0422770529985427,5.166250412003137e-05,1.2920517921447754,7.343073320953408e-06,2003,3.653117801150074e-06,2048,0.1207915799958363,19.212502,0.030197894998959075
2049,0.1192005723714828,0.00014282880874816328,0.5071924924850464,2.0095945728826337e-05,2003,9.30606165638892e-06,2049,0.34057306391852227,20.337502,0.08514326597963057
2050,0.0734922289848327,8.999736746773124e-05,0.3764872848987579,1.2229773346916772e-05,2003,5.461260570882587e-06,2050,0.209977797099522,21.2375,0.0524944492748805
2051,0.0918692722916603,0.00011234574049012735,1.0245174169540403,1.507260458311066e-05,2003,6.421306807169458e-06,2051,0.26248363511902945,21.537498,0.06562090877975736
2052,0.1096812933683395,0.00013451275299303234,0.4906612634658813,1.7550655684317462e-05,2003,7.576400093967095e-06,2052,0.3133751239095414,21.9875,0.07834378097738535
2053,0.0662165060639381,8.39135391288437e-05,0.3207612633705139,1.0483432561159134e-05,2003,4.712664122052956e-06,2053,0.18919001732553745,20.1875,0.04729750433138436
2054,0.0531811639666557,6.859791756141931e-05,0.344485878944397,8.318862455780618e-06,2003,3.847359948849771e-06,2054,0.15194618276187344,19.587502,0.03798654569046836
2055,0.0482432395219802,6.283658876782283e-05,0.2814283370971679,7.470263881259598e-06,2003,4.28017438025563e-06,2055,0.13783782720565774,16.2875,0.034459456801414434
2056,0.0414853654801845,5.4971231293166056e-05,0.2353787124156952,6.41615724816802e-06,2003,4.389639343571616e-06,2056,0.11852961565767,13.8125,0.0296324039144175
2057,0.0349916480481624,4.718966374639422e-05,0.1869504004716873,5.406946002040058e-06,2003,3.6769397411262617e-06,2057,0.099976137280464,17.5625,0.024994034320116
2058,0.0293672308325767,4.022212669951841e-05,0.1637137234210968,4.527454620983917e-06,2003,2.6721381800598465e-06,2058,0.083906373807362,19.5125,0.0209765934518405
2059,0.0253231469541788,3.5060969821643084e-05,0.1454914212226867,3.888207174895797e-06,2003,2.0863697045570007e-06,2059,0.07235184844051086,19.4375,0.018087962110127715
2060,0.0223859008401632,3.12608499370981e-05,0.1343105584383011,3.4281517855561106e-06,2003,2.039314722424024e-06,2060,0.06395971668618057,17.337502,0.015989929171545143
2061,0.0201377123594284,2.824747934937477e-05,0.120045006275177,3.0662968129036017e-06,2003,1.633845045034832e-06,2061,0.057536321026938286,19.8875,0.014384080256734572
2062,0.020782932639122,2.8521037165774032e-05,0.2336348593235016,3.1236218092089985e-06,2003,1.4953317304389202e-06,2062,0.05937980754034857,20.787498,0.014844951885087143
2063,0.0225339829921722,3.0076214898144823e-05,0.1194942966103553,3.3203848488483345e-06,2003,1.4849453009446734e-06,2063,0.06438280854906343,21.087502,0.01609570213726586
2064,0.0213829651474952,2.8427044526324607e-05,0.1639773845672607,3.1203849175653886e-06,2003,1.425721961823001e-06,2064,0.06109418613570058,19.0625,0.015273546533925144
2065,0.0210081450641155,2.772700099740177e-05,0.1092170104384422,3.033422217413317e-06,2003,1.5681250715715578e-06,2065,0.06002327161175858,18.0125,0.015005817902939644
2066,0.0189062822610139,2.509148362150881e-05,0.0995605066418647,2.71067074208986e-06,2003,1.3625038945974666e-06,2066,0.05401794931718258,19.3625,0.013504487329295645
2067,0.0171477328985929,2.2809173970017586e-05,0.0908934250473976,2.4354296783712925e-06,2003,1.143462213804014e-06,2067,0.04899352256740829,20.6375,0.012248380641852073
2068,0.016237236559391,2.1490077415364794e-05,0.1104033887386322,2.282556579302764e-06,2003,1.0730914254963864e-06,2068,0.046392104455402865,19.587502,0.011598026113850716
